run,step,loss,bal,dt_ms,tok_sec,bf16_mfu
moe_bf16_experts_static_long,0,10.397755,24.0,13329.46,39333,0.48
moe_bf16_experts_static_long,1,10.175991,23.9563,7039.69,74476,0.9
moe_bf16_experts_static_long,2,9.783712,25.4345,2114.06,248000,3.0
moe_bf16_experts_static_long,3,9.254472,29.2531,1015.79,516140,6.25
moe_bf16_experts_static_long,4,8.724613,25.6812,3068.43,170865,2.07
moe_bf16_experts_static_long,5,8.319695,24.8344,3072.47,170640,2.06
moe_bf16_experts_static_long,6,7.991561,24.9581,2654.83,197484,2.39
moe_bf16_experts_static_long,7,7.724006,24.8907,2709.03,193533,2.34
moe_bf16_experts_static_long,8,7.50298,24.8904,2605.57,201218,2.43
moe_bf16_experts_static_long,9,7.334548,24.4377,2416.28,216981,2.63
moe_bf16_experts_static_long,10,7.161413,24.5061,2316.16,226361,2.74
moe_bf16_experts_static_long,11,7.018684,24.3758,2221.75,235979,2.86
moe_bf16_experts_static_long,12,6.888716,24.3193,2162.87,242403,2.93
moe_bf16_experts_static_long,13,6.787537,24.3682,1874.93,279630,3.38
moe_bf16_experts_static_long,14,6.684093,24.3046,1751.39,299355,3.62
moe_bf16_experts_static_long,15,6.611297,24.2756,1691.47,309959,3.75
moe_bf16_experts_static_long,16,6.543506,24.2882,1508.38,347583,4.21
moe_bf16_experts_static_long,17,6.498593,24.3297,1462.81,358411,4.34
moe_bf16_experts_static_long,18,6.439771,24.2277,1481.31,353935,4.28
moe_bf16_experts_static_long,19,6.379016,24.3752,1418.29,369661,4.47
moe_bf16_experts_static_long,20,6.326599,24.2892,1259.1,416400,5.04
moe_bf16_experts_static_long,21,6.285228,24.3297,1178.96,444704,5.38
moe_bf16_experts_static_long,22,6.246842,24.1895,1160.98,451589,5.46
moe_bf16_experts_static_long,23,6.199294,24.3192,1109.86,472391,5.72
moe_bf16_experts_static_long,24,6.173516,24.2246,1085.57,482961,5.84
moe_bf16_experts_static_long,25,6.166232,24.2015,991.42,528824,6.4
moe_bf16_experts_static_long,26,6.122284,24.3359,958.57,546949,6.62
moe_bf16_experts_static_long,27,6.098341,24.2442,904.18,579848,7.02
moe_bf16_experts_static_long,28,6.064038,24.255,902.8,580736,7.03
moe_bf16_experts_static_long,29,6.039193,24.1672,834.38,628355,7.6
moe_bf16_experts_static_long,30,6.013053,24.1387,821.09,638523,7.73
moe_bf16_experts_static_long,31,5.993837,24.2043,789.73,663884,8.03
moe_bf16_experts_static_long,32,5.957338,24.1222,815.39,642987,7.78
moe_bf16_experts_static_long,33,5.93343,24.3249,763.64,686563,8.31
moe_bf16_experts_static_long,34,5.913604,24.1412,777.59,674247,8.16
moe_bf16_experts_static_long,35,5.896325,24.3457,792.53,661535,8.0
moe_bf16_experts_static_long,36,5.872296,24.1332,699.7,749307,9.07
moe_bf16_experts_static_long,37,5.854642,24.3607,774.37,677050,8.19
moe_bf16_experts_static_long,38,5.850211,24.1061,677.25,774142,9.37
moe_bf16_experts_static_long,39,5.829668,24.333,752.79,696457,8.43
moe_bf16_experts_static_long,40,5.826341,24.111,804.07,652042,7.89
moe_bf16_experts_static_long,41,5.798931,24.2449,709.76,738683,8.94
moe_bf16_experts_static_long,42,5.784853,24.1801,668.88,783826,9.48
moe_bf16_experts_static_long,43,5.77891,24.2429,688.24,761786,9.22
moe_bf16_experts_static_long,44,5.770644,24.1075,627.76,835171,10.11
moe_bf16_experts_static_long,45,5.749649,24.3087,688.86,761098,9.21
moe_bf16_experts_static_long,46,5.740922,24.1931,634.38,826463,10.0
moe_bf16_experts_static_long,47,5.711083,24.244,647.08,810236,9.8
moe_bf16_experts_static_long,48,5.686621,24.1196,651.84,804317,9.73
moe_bf16_experts_static_long,49,5.672396,24.5822,814.57,643640,7.79
moe_bf16_experts_static_long,50,5.669344,24.1452,790.46,663272,8.03
moe_bf16_experts_static_long,51,5.652156,24.36,701.38,747510,9.05
moe_bf16_experts_static_long,52,5.640464,24.2019,690.14,759684,9.19
moe_bf16_experts_static_long,53,5.608548,24.2816,639.11,820343,9.93
moe_bf16_experts_static_long,54,5.586803,24.2092,660.27,794047,9.61
moe_bf16_experts_static_long,55,5.585259,24.334,684.18,766302,9.27
moe_bf16_experts_static_long,56,5.569439,24.3457,618.65,847474,10.25
moe_bf16_experts_static_long,57,5.549077,24.1896,659.63,794818,9.62
moe_bf16_experts_static_long,58,5.525148,24.3296,647.55,809645,9.8
moe_bf16_experts_static_long,59,5.512737,24.1836,675.25,776435,9.4
moe_bf16_experts_static_long,60,5.50316,24.3954,680.14,770858,9.33
moe_bf16_experts_static_long,61,5.476787,24.2278,623.13,841371,10.18
moe_bf16_experts_static_long,62,5.463446,24.3889,648.45,808527,9.78
moe_bf16_experts_static_long,63,5.446747,24.1853,627.18,835941,10.12
moe_bf16_experts_static_long,64,5.428808,24.4603,645.5,812222,9.83
moe_bf16_experts_static_long,65,5.423371,24.2236,613.78,854194,10.34
moe_bf16_experts_static_long,66,5.407408,24.3096,643.62,814596,9.86
moe_bf16_experts_static_long,67,5.396589,24.1502,647.7,809462,9.79
moe_bf16_experts_static_long,68,5.387317,24.3798,676.6,774890,9.38
moe_bf16_experts_static_long,69,5.36514,24.2394,667.2,785799,9.51
moe_bf16_experts_static_long,70,5.350855,24.3665,708.52,739980,8.95
moe_bf16_experts_static_long,71,5.347827,24.2208,674.76,776994,9.4
moe_bf16_experts_static_long,72,5.323749,24.3087,613.1,855144,10.35
moe_bf16_experts_static_long,73,5.319754,24.2889,600.47,873130,10.57
moe_bf16_experts_static_long,74,5.314929,24.1442,605.68,865621,10.47
moe_bf16_experts_static_long,75,5.294823,24.3785,609.75,859843,10.4
moe_bf16_experts_static_long,76,5.27436,24.2573,597.52,877445,10.62
moe_bf16_experts_static_long,77,5.257215,24.2278,580.33,903432,10.93
moe_bf16_experts_static_long,78,5.233728,24.3797,592.38,885052,10.71
moe_bf16_experts_static_long,79,5.223453,24.1393,583.36,898743,10.88
moe_bf16_experts_static_long,80,5.220138,24.2816,563.97,929635,11.25
moe_bf16_experts_static_long,81,5.209016,24.2209,557.31,940744,11.38
moe_bf16_experts_static_long,82,5.202272,24.1285,548.61,955659,11.56
moe_bf16_experts_static_long,83,5.193744,24.3661,551.88,950002,11.5
moe_bf16_experts_static_long,84,5.174888,24.1967,540.86,969361,11.73
moe_bf16_experts_static_long,85,5.159584,24.3122,562.1,932731,11.29
moe_bf16_experts_static_long,86,5.138147,24.0731,561.92,933034,11.29
moe_bf16_experts_static_long,87,5.126583,24.3181,573.0,914987,11.07
moe_bf16_experts_static_long,88,5.120122,24.1663,654.79,800701,9.69
moe_bf16_experts_static_long,89,5.105735,24.2769,616.34,850645,10.29
moe_bf16_experts_static_long,90,5.090242,24.16,600.69,872802,10.56
moe_bf16_experts_static_long,91,5.081131,24.3554,588.24,891275,10.78
moe_bf16_experts_static_long,92,5.057562,24.3025,570.59,918847,11.12
moe_bf16_experts_static_long,93,5.061581,24.1538,570.26,919379,11.12
moe_bf16_experts_static_long,94,5.042156,24.1718,557.19,940955,11.39
moe_bf16_experts_static_long,95,5.029159,24.1153,521.67,1005015,12.16
moe_bf16_experts_static_long,96,5.016159,24.1631,546.56,959250,11.61
moe_bf16_experts_static_long,97,5.006492,24.2154,541.41,968366,11.72
moe_bf16_experts_static_long,98,5.001926,24.3513,537.95,974606,11.79
moe_bf16_experts_static_long,99,4.981294,24.064,495.29,1058540,12.81
moe_bf16_experts_static_long,100,4.962081,24.1275,506.77,1034559,12.52
moe_bf16_experts_static_long,101,4.941803,24.1029,487.07,1076401,13.02
moe_bf16_experts_static_long,102,4.930451,24.2028,499.44,1049745,12.7
moe_bf16_experts_static_long,103,4.919591,24.1073,509.05,1029924,12.46
moe_bf16_experts_static_long,104,4.916673,24.2376,525.43,997833,12.07
moe_bf16_experts_static_long,105,4.890364,24.2395,499.1,1050461,12.71
moe_bf16_experts_static_long,106,4.873261,24.3421,560.61,935209,11.32
moe_bf16_experts_static_long,107,4.840545,24.4506,505.38,1037404,12.55
moe_bf16_experts_static_long,108,4.836701,24.3698,522.43,1003546,12.14
moe_bf16_experts_static_long,109,4.832126,24.1707,512.28,1023436,12.38
moe_bf16_experts_static_long,110,4.811032,24.1273,502.84,1042644,12.62
moe_bf16_experts_static_long,111,4.803704,24.1848,518.83,1010522,12.23
moe_bf16_experts_static_long,112,4.784475,24.1599,813.36,644599,7.8
moe_bf16_experts_static_long,113,4.764583,24.2065,534.32,981228,11.87
moe_bf16_experts_static_long,114,4.747314,24.2367,490.14,1069665,12.94
moe_bf16_experts_static_long,115,4.737216,24.2095,518.38,1011396,12.24
moe_bf16_experts_static_long,116,4.736233,24.1714,510.27,1027481,12.43
moe_bf16_experts_static_long,117,4.723736,24.2584,488.28,1073752,12.99
moe_bf16_experts_static_long,118,4.707361,24.2564,486.2,1078343,13.05
moe_bf16_experts_static_long,119,4.697142,24.2314,495.29,1058544,12.81
moe_bf16_experts_static_long,120,4.698675,24.1032,489.47,1071126,12.96
moe_bf16_experts_static_long,121,4.689892,24.1205,488.58,1073074,12.98
moe_bf16_experts_static_long,122,4.680313,24.1849,498.26,1052229,12.73
moe_bf16_experts_static_long,123,4.6811,24.1933,498.8,1051095,12.72
moe_bf16_experts_static_long,124,4.679463,24.3147,501.13,1046217,12.66
moe_bf16_experts_static_long,125,4.663366,24.0601,480.11,1092026,13.21
moe_bf16_experts_static_long,126,4.65322,24.1081,492.87,1063751,12.87
moe_bf16_experts_static_long,127,4.633816,24.1174,482.78,1085976,13.14
moe_bf16_experts_static_long,128,4.633046,24.0751,512.82,1022370,12.37
moe_bf16_experts_static_long,129,4.609398,24.0882,506.04,1036062,12.54
moe_bf16_experts_static_long,130,4.591737,24.1259,476.0,1101438,13.33
moe_bf16_experts_static_long,131,4.593169,24.2283,488.51,1073249,12.99
moe_bf16_experts_static_long,132,4.590535,24.1289,493.82,1061688,12.85
moe_bf16_experts_static_long,133,4.578649,24.1936,501.47,1045492,12.65
moe_bf16_experts_static_long,134,4.567752,24.1627,490.37,1069168,12.94
moe_bf16_experts_static_long,135,4.545474,24.1924,482.58,1086434,13.15
moe_bf16_experts_static_long,136,4.532711,24.0933,491.79,1066084,12.9
moe_bf16_experts_static_long,137,4.523509,24.1532,485.33,1080264,13.07
moe_bf16_experts_static_long,138,4.525696,24.1892,510.53,1026947,12.43
moe_bf16_experts_static_long,139,4.511975,24.2236,478.02,1096800,13.27
moe_bf16_experts_static_long,140,4.501198,24.2407,473.46,1107359,13.4
moe_bf16_experts_static_long,141,4.495154,24.1571,493.89,1061558,12.85
moe_bf16_experts_static_long,142,4.485969,24.3098,505.42,1037339,12.55
moe_bf16_experts_static_long,143,4.454406,24.1231,499.17,1050310,12.71
moe_bf16_experts_static_long,144,4.43891,24.1545,475.95,1101558,13.33
moe_bf16_experts_static_long,145,4.417699,24.1264,471.62,1111683,13.45
moe_bf16_experts_static_long,146,4.408845,24.1199,477.15,1098800,13.3
moe_bf16_experts_static_long,147,4.398623,24.2139,488.69,1072840,12.98
moe_bf16_experts_static_long,148,4.375156,24.1287,480.67,1090749,13.2
moe_bf16_experts_static_long,149,4.374034,24.0754,471.09,1112930,13.47
moe_bf16_experts_static_long,150,4.348996,24.144,515.86,1016346,12.3
moe_bf16_experts_static_long,151,4.336464,24.0941,512.66,1022672,12.37
moe_bf16_experts_static_long,152,4.337385,24.1503,483.76,1083773,13.11
moe_bf16_experts_static_long,153,4.325422,24.1089,500.09,1048378,12.69
moe_bf16_experts_static_long,154,4.320857,24.1679,487.54,1075374,13.01
moe_bf16_experts_static_long,155,4.325779,24.1503,489.07,1072008,12.97
moe_bf16_experts_static_long,156,4.32729,24.1382,487.63,1075178,13.01
moe_bf16_experts_static_long,157,4.306777,24.1294,483.52,1084314,13.12
moe_bf16_experts_static_long,158,4.297877,24.1553,493.19,1063053,12.86
moe_bf16_experts_static_long,159,4.306093,24.0676,501.88,1044653,12.64
moe_bf16_experts_static_long,160,4.304764,24.2036,472.72,1109088,13.42
moe_bf16_experts_static_long,161,4.285407,24.1632,488.8,1072605,12.98
moe_bf16_experts_static_long,162,4.255954,24.3475,478.86,1094872,13.25
moe_bf16_experts_static_long,163,4.250924,24.0396,511.51,1024989,12.4
moe_bf16_experts_static_long,164,4.242828,24.1016,477.06,1099007,13.3
moe_bf16_experts_static_long,165,4.229365,24.1556,472.48,1109644,13.43
moe_bf16_experts_static_long,166,4.21664,24.1832,479.43,1093562,13.23
moe_bf16_experts_static_long,167,4.217679,24.0703,484.07,1083079,13.11
moe_bf16_experts_static_long,168,4.224321,24.0862,506.01,1036131,12.54
moe_bf16_experts_static_long,169,4.219518,24.1676,477.75,1097408,13.28
moe_bf16_experts_static_long,170,4.216323,24.2065,499.74,1049121,12.69
moe_bf16_experts_static_long,171,4.190656,24.0601,482.3,1087058,13.15
moe_bf16_experts_static_long,172,4.196473,24.256,646.13,811422,9.82
moe_bf16_experts_static_long,173,4.19809,24.0007,468.05,1120142,13.55
moe_bf16_experts_static_long,174,4.188029,24.1295,477.88,1097122,13.28
moe_bf16_experts_static_long,175,4.179439,24.1057,471.68,1111540,13.45
moe_bf16_experts_static_long,176,4.166363,24.2218,557.93,939700,11.37
moe_bf16_experts_static_long,177,4.165609,24.3196,490.42,1069061,12.94
moe_bf16_experts_static_long,178,4.159759,24.1185,530.92,987513,11.95
moe_bf16_experts_static_long,179,4.137674,24.09,487.6,1075231,13.01
moe_bf16_experts_static_long,180,4.131959,24.1263,478.55,1095581,13.26
moe_bf16_experts_static_long,181,4.126995,24.1891,493.69,1061977,12.85
moe_bf16_experts_static_long,182,4.113051,24.1204,530.65,988004,11.96
moe_bf16_experts_static_long,183,4.105018,24.1651,483.5,1084366,13.12
moe_bf16_experts_static_long,184,4.116135,24.2733,482.83,1085873,13.14
moe_bf16_experts_static_long,185,4.108715,24.2974,493.39,1062629,12.86
moe_bf16_experts_static_long,186,4.100804,24.0442,489.2,1071734,12.97
moe_bf16_experts_static_long,187,4.081304,24.0791,479.2,1094101,13.24
moe_bf16_experts_static_long,188,4.073778,24.09,483.22,1084998,13.13
moe_bf16_experts_static_long,189,4.059722,24.2012,477.73,1097451,13.28
moe_bf16_experts_static_long,190,4.039497,24.1826,479.77,1092801,13.22
moe_bf16_experts_static_long,191,4.044877,24.0741,480.26,1091683,13.21
moe_bf16_experts_static_long,192,4.031488,24.2082,475.56,1102464,13.34
moe_bf16_experts_static_long,193,4.020656,24.2426,475.37,1102896,13.35
moe_bf16_experts_static_long,194,4.010456,24.1406,471.01,1113113,13.47
moe_bf16_experts_static_long,195,3.983465,24.0783,473.09,1108219,13.41
moe_bf16_experts_static_long,196,3.979188,24.1239,484.81,1081426,13.09
moe_bf16_experts_static_long,197,3.959923,24.2865,483.57,1084204,13.12
moe_bf16_experts_static_long,198,3.947808,24.1222,486.27,1078175,13.05
moe_bf16_experts_static_long,199,3.950019,24.107,458.04,1144627,13.85
moe_bf16_experts_static_long,200,3.954332,24.092,507.65,1032781,12.5
moe_bf16_experts_static_long,201,3.945737,24.0826,565.02,927905,11.23
moe_bf16_experts_static_long,202,3.928054,24.175,553.99,946392,11.45
moe_bf16_experts_static_long,203,3.91795,24.0532,495.36,1058403,12.81
moe_bf16_experts_static_long,204,3.927587,24.1049,592.73,884536,10.7
moe_bf16_experts_static_long,205,3.912523,24.1278,522.9,1002659,12.13
moe_bf16_experts_static_long,206,3.905477,24.1276,474.05,1105966,13.38
moe_bf16_experts_static_long,207,3.895322,24.0852,482.71,1086142,13.14
moe_bf16_experts_static_long,208,3.894101,24.1454,524.73,999155,12.09
moe_bf16_experts_static_long,209,3.88605,24.0623,470.8,1113606,13.48
moe_bf16_experts_static_long,210,3.885462,24.1495,487.25,1076005,13.02
moe_bf16_experts_static_long,211,3.870192,24.0573,460.54,1138417,13.78
moe_bf16_experts_static_long,212,3.855977,24.2126,472.38,1109895,13.43
moe_bf16_experts_static_long,213,3.841294,24.0639,465.91,1125289,13.62
moe_bf16_experts_static_long,214,3.835392,24.1819,469.4,1116930,13.52
moe_bf16_experts_static_long,215,3.836131,24.1038,528.66,991730,12.0
moe_bf16_experts_static_long,216,3.82624,24.1173,478.92,1094730,13.25
moe_bf16_experts_static_long,217,3.827935,24.1091,474.84,1104144,13.36
moe_bf16_experts_static_long,218,3.821856,24.0838,470.59,1114111,13.48
moe_bf16_experts_static_long,219,3.829892,24.0677,568.88,921611,11.15
moe_bf16_experts_static_long,220,3.829651,24.1887,534.5,980888,11.87
moe_bf16_experts_static_long,221,3.82731,24.1075,461.37,1136375,13.75
moe_bf16_experts_static_long,222,3.817736,24.0593,469.84,1115875,13.5
moe_bf16_experts_static_long,223,3.821546,24.0781,464.07,1129765,13.67
moe_bf16_experts_static_long,224,3.816423,24.1232,473.14,1108104,13.41
moe_bf16_experts_static_long,225,3.82542,24.0912,469.79,1116000,13.5
moe_bf16_experts_static_long,226,3.837347,24.0948,491.56,1066571,12.91
moe_bf16_experts_static_long,227,3.821513,24.0809,458.12,1144446,13.85
moe_bf16_experts_static_long,228,3.82462,24.1508,473.61,1107014,13.4
moe_bf16_experts_static_long,229,3.812034,24.0854,476.05,1101340,13.33
moe_bf16_experts_static_long,230,3.820051,24.0608,458.82,1142698,13.83
moe_bf16_experts_static_long,231,3.834573,24.111,472.77,1108970,13.42
moe_bf16_experts_static_long,232,3.839471,24.1673,477.72,1097474,13.28
moe_bf16_experts_static_long,233,3.831547,24.0822,705.2,743464,9.0
moe_bf16_experts_static_long,234,3.807262,24.1256,465.1,1127253,13.64
moe_bf16_experts_static_long,235,3.802979,24.0613,476.98,1099175,13.3
moe_bf16_experts_static_long,236,3.800569,24.0765,478.58,1095507,13.26
moe_bf16_experts_static_long,237,3.797591,24.1438,489.0,1072155,12.97
moe_bf16_experts_static_long,238,3.789914,24.0326,468.53,1119002,13.54
moe_bf16_experts_static_long,239,3.781119,24.1955,476.71,1099799,13.31
moe_bf16_experts_static_long,240,3.778277,24.061,485.51,1079871,13.07
moe_bf16_experts_static_long,241,3.761334,24.1243,479.11,1094292,13.24
moe_bf16_experts_static_long,242,3.747482,24.1879,469.32,1117115,13.52
moe_bf16_experts_static_long,243,3.748441,24.0711,509.68,1028670,12.45
moe_bf16_experts_static_long,244,3.734432,24.0636,481.63,1088559,13.17
moe_bf16_experts_static_long,245,3.722746,24.091,523.16,1002156,12.13
moe_bf16_experts_static_long,246,3.70832,24.4538,466.97,1122750,13.59
moe_bf16_experts_static_long,247,3.709564,24.1044,466.19,1124621,13.61
moe_bf16_experts_static_long,248,3.685031,24.2823,458.58,1143278,13.83
moe_bf16_experts_static_long,249,3.691136,24.0276,488.72,1072776,12.98
moe_bf16_experts_static_long,250,3.689526,24.0878,461.45,1136175,13.75
moe_bf16_experts_static_long,251,3.682001,24.0764,450.41,1164034,14.09
moe_bf16_experts_static_long,252,3.663672,24.0709,475.78,1101959,13.33
moe_bf16_experts_static_long,253,3.671396,24.061,538.15,974248,11.79
moe_bf16_experts_static_long,254,3.680507,24.0908,475.91,1101660,13.33
moe_bf16_experts_static_long,255,3.671957,24.0454,484.25,1082680,13.1
moe_bf16_experts_static_long,256,3.674456,24.0409,461.58,1135855,13.74
moe_bf16_experts_static_long,257,3.674984,24.0378,486.43,1077835,13.04
moe_bf16_experts_static_long,258,3.666386,24.1814,463.23,1131802,13.7
moe_bf16_experts_static_long,259,3.662037,24.0776,457.86,1145095,13.86
moe_bf16_experts_static_long,260,3.656583,24.1172,459.32,1141446,13.81
moe_bf16_experts_static_long,261,3.635992,24.0817,477.49,1098006,13.29
